name,type,primary_muscles,secondary_muscles,equipment,description,sets_min,sets_max,reps_min,reps_max,rest_seconds,difficulty,modality,tags,estimated_minutes,published
"Assisted Pull-up (Band)",strength,Lats,"Biceps|Back",Pull-up_Bar|Band,"Use resistance band for assistance.",3,4,5,12,90,beginner,reps,"strength|back_focus",5,true
"Hanging Leg Raise",strength,Lower_Abs,"Hip_Flexors|Grip",Pull-up_Bar,"Hang from bar, raise legs to 90 degrees.",3,4,8,15,75,intermediate,reps,"core|abs_focus",4,true
"Resistance Band Squat",strength,Quadriceps,"Glutes|Hamstrings",Band,"Stand on band, hold handles at shoulders, squat.",3,4,12,20,60,beginner,reps,"strength|endurance|leg_focus",5,true
"Resistance Band Row",strength,Back,"Biceps",Band,"Anchor band, row handles to sides.",3,4,12,20,60,beginner,reps,"strength|back_focus",4,true
"Resistance Band Chest Press",strength,Chest,"Shoulders|Triceps",Band,"Band behind back, press handles forward.",3,4,12,20,60,beginner,reps,"strength|chest_focus",4,true
"Resistance Band Lateral Walk",strength,Hip_Abductors,"Glutes",Band,"Band around thighs, walk sideways.",3,4,10,20,45,beginner,reps,"glute_focus|activation",4,true
"Resistance Band Face Pull",strength,Rear_Shoulders,"Upper_Back|Traps",Band,"Pull band to face, elbows high.",3,4,15,20,60,beginner,reps,"shoulder_focus|posture",4,true
"Box Jump",strength,Quadriceps,"Glutes|Calves",Box,"Jump onto elevated box or platform.",3,5,5,12,120,intermediate,reps,"power|explosive|leg_focus",5,true
"Step-up (Bodyweight)",strength,Quadriceps,"Glutes|Hamstrings",Box,"Step up onto box, alternate legs.",3,4,10,15,60,beginner,reps,"strength|leg_focus",5,true
"Kettlebell Swing",strength,Glutes,"Hamstrings|Lower_Back|Shoulders",Kettlebell,"Hip hinge swing, drive kettlebell to shoulder height.",3,4,10,20,75,intermediate,reps,"power|fat_loss|cardio|posterior_chain",5,true
"Kettlebell Goblet Squat",strength,Quadriceps,"Glutes|Core",Kettlebell,"Hold kettlebell at chest, squat.",3,4,8,15,75,beginner,reps,"strength|leg_focus",5,true
"Kettlebell Turkish Get-up",strength,"Full Body","Shoulders|Core",Kettlebell,"Complex movement from lying to standing holding kettlebell overhead.",3,3,3,6,120,advanced,reps,"strength|stability|functional",8,true
"TRX Row",strength,Back,"Biceps|Core",TRX,"Suspended row holding TRX straps.",3,4,8,15,75,intermediate,reps,"strength|back_focus",5,true
"TRX Push-up",strength,Chest,"Shoulders|Triceps|Core",TRX,"Push-up with hands in TRX straps (unstable).",3,4,8,15,75,intermediate,reps,"strength|chest_focus|stability",5,true
"TRX Pike",strength,Core,"Shoulders",TRX,"Feet in straps, pike hips up.",3,4,8,15,75,advanced,reps,"core|abs_focus",4,true
"Cable Chest Fly",strength,Chest,,Cable,"Cable fly from high or mid position.",3,4,10,15,60,intermediate,reps,"muscle_gain|chest_focus",5,true
"Cable Tricep Pushdown",strength,Triceps,,Cable,"Push cable attachment down, straighten elbows.",3,4,10,15,60,beginner,reps,"muscle_gain|tricep_focus",4,true
"Cable Bicep Curl",strength,Biceps,,Cable,"Curl cable handle from thighs to shoulders.",3,4,10,15,60,beginner,reps,"muscle_gain|bicep_focus",4,true
"Cable Lateral Raise",strength,Shoulders,,Cable,"Raise cable handle out to side.",3,4,12,15,60,intermediate,reps,"muscle_gain|shoulder_focus",4,true
"Cable Face Pull",strength,Rear_Shoulders,"Upper_Back|Traps",Cable,"Pull cable to face, elbows high.",3,4,15,20,60,beginner,reps,"shoulder_focus|posture",4,true
"Leg Press Machine",strength,Quadriceps,"Glutes|Hamstrings",Machine,"Press platform away with legs.",3,5,8,15,90,beginner,reps,"strength|muscle_gain|leg_focus",6,true
"Leg Curl Machine",strength,Hamstrings,,Machine,"Curl legs up toward glutes against resistance.",3,4,10,15,75,beginner,reps,"muscle_gain|hamstring_focus",4,true
"Leg Extension Machine",strength,Quadriceps,,Machine,"Extend legs against resistance.",3,4,10,15,75,beginner,reps,"muscle_gain|quad_focus",4,true
"Lat Pulldown Machine",strength,Lats,"Biceps|Rear_Shoulders",Machine,"Pull bar down to chest.",3,4,8,12,75,beginner,reps,"strength|back_focus",5,true
"Seated Row Machine",strength,Back,"Biceps|Rear_Shoulders",Machine,"Row handles to torso.",3,4,8,12,75,beginner,reps,"strength|back_focus",5,true
"Chest Press Machine",strength,Chest,"Shoulders|Triceps",Machine,"Press handles away from chest.",3,4,8,12,75,beginner,reps,"strength|chest_focus",5,true
"Pec Deck Machine",strength,Chest,,Machine,"Bring arms together in front of chest.",3,4,10,15,60,beginner,reps,"muscle_gain|chest_focus",4,true
"Shoulder Press Machine",strength,Shoulders,"Triceps",Machine,"Press handles overhead.",3,4,8,12,75,beginner,reps,"strength|shoulder_focus",5,true
"Running (Outdoor)",cardio,Cardiovascular,"Legs",Outdoor,"Steady-state or interval running.",1,1,20,60,0,beginner,distance,"fat_loss|endurance|cardio",30,true
"Cycling (Outdoor)",cardio,Cardiovascular,"Quadriceps|Glutes",Bike,"Steady-state or interval cycling.",1,1,20,60,0,beginner,distance,"fat_loss|endurance|cardio",30,true
"Rowing Machine",cardio,Cardiovascular,"Back|Legs",Rowing_Machine,"Full-body cardio on rowing machine.",3,4,15,30,60,beginner,time,"fat_loss|endurance|cardio|full_body",20,true
"Assault Bike/Air Bike",cardio,Cardiovascular,"Full Body",Bike,"High-intensity bike with arm movement.",3,5,20,60,90,intermediate,time,"fat_loss|hiit|cardio",15,true
"Jump Rope",cardio,Cardiovascular,"Calves|Coordination",,"Classic cardio exercise, single or double unders.",3,5,30,120,60,beginner,time,"fat_loss|cardio|coordination",10,true
"Shadow Boxing",cardio,Cardiovascular,"Shoulders|Core",,"Throw punches in the air, great cardio and coordination.",3,5,60,180,60,beginner,time,"fat_loss|cardio|coordination",10,true
"Stair Climbing",cardio,Cardiovascular,"Quadriceps|Glutes|Calves",,"Climb stairs for cardio and leg strength.",1,1,10,30,0,beginner,time,"fat_loss|cardio|leg_focus",15,true
"Burpee Box Jump",strength,"Full Body","Cardiovascular",Box,"Burpee followed by box jump.",3,4,5,12,120,advanced,reps,"hiit|power|fat_loss",5,true
"Reverse Crunch",strength,Lower_Abs,"Hip_Flexors",,"Lift hips off ground, bring knees to chest.",3,4,12,20,45,beginner,reps,"core|abs_focus",3,true
"V-ups",strength,Abs,"Hip_Flexors",,"Lie flat, simultaneously lift legs and torso to form V.",3,4,10,15,60,intermediate,reps,"core|abs_focus",4,true
"L-sit Hold",strength,Core,"Hip_Flexors|Triceps",,"Sit on ground or parallel bars, lift body with straight legs.",3,4,10,30,60,advanced,time,"core|gymnastics|strength",4,true
"Handstand Hold (Wall)",strength,Shoulders,"Core|Balance",Wall,"Kick up to handstand against wall.",3,4,15,45,90,advanced,time,"shoulder_focus|balance|gymnastics",5,true
"Pseudo Planche Push-up",strength,Shoulders,"Chest|Core",,"Push-up with hands positioned lower, lean forward.",3,4,5,12,90,advanced,reps,"strength|shoulder_focus|gymnastics",5,true
"Archer Push-up",strength,Chest,"Shoulders|Triceps",,"Wide push-up, shift weight to one side.",3,4,6,12,75,advanced,reps,"strength|chest_focus",5,true
"Pistol Squat (Assisted)",strength,Quadriceps,"Glutes|Balance",,"Single-leg squat, use support for balance.",3,4,5,10,90,advanced,reps,"strength|balance|leg_focus",6,true
